Open Time,Open,High,Low,Close,Volume
1734217200000,101117.64000000,101499.08000000,101045.45000000,101420.00000000,315.18337000
1734220800000,101420.00000000,101558.83000000,101237.14000000,101442.42000000,313.78863000
1734224400000,101442.41000000,102196.97000000,101424.01000000,102134.48000000,1458.80477000
1734228000000,102134.48000000,102155.28000000,101775.88000000,101831.15000000,728.33298000
1734231600000,101831.16000000,101931.73000000,101722.31000000,101733.82000000,216.32352000
1734235200000,101733.83000000,102850.00000000,101733.82000000,102366.17000000,1788.48948000
1734238800000,102366.17000000,102511.81000000,102107.92000000,102159.29000000,485.39491000
1734242400000,102159.29000000,102169.90000000,101759.80000000,101759.80000000,417.41142000
1734246000000,101759.81000000,101941.18000000,101534.01000000,101732.09000000,399.71077000
1734249600000,101732.09000000,102015.16000000,101581.07000000,102015.15000000,434.85636000
1734253200000,102015.15000000,102270.95000000,101919.60000000,102264.34000000,361.99787000
1734256800000,102264.34000000,102450.22000000,102147.58000000,102280.00000000,390.62989000
1734260400000,102280.01000000,102691.01000000,102228.01000000,102671.44000000,613.11003000
1734264000000,102671.44000000,103359.97000000,102533.33000000,102946.54000000,2308.19851000
1734267600000,102946.55000000,102987.43000000,102473.01000000,102784.65000000,917.26646000
1734271200000,102784.65000000,103061.88000000,102622.99000000,102994.37000000,988.69088000
1734274800000,102994.37000000,103039.99000000,102704.00000000,102704.01000000,704.04111000
1734278400000,102704.00000000,103490.00000000,102583.65000000,103127.08000000,1092.30198000
1734282000000,103127.08000000,103368.19000000,102978.93000000,103164.00000000,493.45924000
1734285600000,103164.01000000,103358.89000000,102984.58000000,103204.00000000,381.55820000
1734289200000,103203.99000000,103455.00000000,103178.47000000,103252.95000000,474.60080000
1734292800000,103252.96000000,103404.16000000,103066.67000000,103144.83000000,421.52166000
1734296400000,103144.83000000,103197.67000000,102634.25000000,102859.06000000,733.51731000
1734300000000,102859.05000000,103385.80000000,102621.50000000,103277.32000000,752.53486000
1734303600000,103277.31000000,105250.00000000,103246.07000000,104463.99000000,5352.38013500
1734307200000,104463.99000000,106648.00000000,104324.50000000,105444.95000000,4439.21432600
1734310800000,105444.95000000,105591.58000000,104979.39000000,105531.99000000,1469.85302000
1734314400000,105532.00000000,105640.00000000,104446.28000000,104585.32000000,1719.94162000
1734318000000,104585.32000000,105000.00000000,104259.48000000,104582.28000000,1174.83928000
1734321600000,104582.28000000,104805.22000000,104469.89000000,104686.15000000,650.79766000
1734325200000,104686.15000000,105064.00000000,104482.46000000,105028.00000000,781.51923000
1734328800000,105028.01000000,105373.76000000,104956.00000000,105149.98000000,971.06116000
1734332400000,105149.98000000,105420.76000000,104900.00000000,104992.79000000,679.89461000
1734336000000,104992.79000000,105016.85000000,104505.22000000,104535.44000000,713.40126000
1734339600000,104535.44000000,104942.48000000,104500.46000000,104676.72000000,767.27443000
1734343200000,104676.73000000,104722.10000000,104350.01000000,104684.99000000,993.28252000
1734346800000,104684.98000000,104836.36000000,103625.78000000,103757.99000000,1498.30185000
1734350400000,103758.00000000,104145.90000000,103333.00000000,103656.02000000,1555.92886000
1734354000000,103656.02000000,104138.99000000,103484.51000000,103908.02000000,1256.73983000
1734357600000,103908.03000000,106000.00000000,103879.25000000,105487.00000000,3025.52605000
1734361200000,105487.01000000,106499.99000000,105253.46000000,106332.01000000,3451.11467000
1734364800000,106332.00000000,107195.58000000,106140.00000000,106824.95000000,3224.84045800
1734368400000,106824.94000000,107195.00000000,106693.26000000,107078.55000000,2075.56347000
1734372000000,107078.55000000,107793.07000000,106882.47000000,107078.60000000,3417.43628600
1734375600000,107078.60000000,107078.61000000,105797.41000000,106583.12000000,3277.26405000
1734379200000,106583.13000000,106648.48000000,105762.56000000,105808.36000000,1901.28728000
1734382800000,105808.36000000,106274.90000000,105688.93000000,106057.77000000,880.58820000
1734386400000,106057.78000000,106301.59000000,105721.39000000,105815.99000000,620.69466000
1734390000000,105816.00000000,106064.00000000,105480.02000000,106058.66000000,756.03796000
1734393600000,106058.65000000,106244.40000000,105657.34000000,105856.51000000,1086.89201000
1734397200000,105856.51000000,106469.29000000,105744.62000000,106376.00000000,1112.03906000
1734400800000,106376.01000000,106590.55000000,106197.74000000,106269.14000000,804.33118000
1734404400000,106269.15000000,107000.00000000,106240.50000000,106866.49000000,879.61902000
1734408000000,106866.50000000,106866.50000000,106412.99000000,106500.77000000,533.25830000
1734411600000,106500.77000000,106823.28000000,106448.00000000,106817.43000000,576.75389000
1734415200000,106817.44000000,106845.00000000,106368.45000000,106549.98000000,543.19883000
1734418800000,106549.99000000,107143.29000000,106478.00000000,106805.75000000,1284.61121000
1734422400000,106805.75000000,107550.02000000,106753.53000000,107406.61000000,1330.80553000
1734426000000,107406.61000000,107474.10000000,107130.00000000,107306.03000000,693.66559000
1734429600000,107306.03000000,107343.82000000,106897.44000000,107209.67000000,792.66466000
1734433200000,107209.67000000,107329.49000000,106708.86000000,106808.31000000,805.81206000
1734436800000,106808.31000000,107177.55000000,106534.29000000,107136.01000000,997.93197000
1734440400000,107136.01000000,107620.09000000,106981.06000000,107298.42000000,795.32765000
1734444000000,107298.42000000,108353.00000000,107056.13000000,108258.39000000,2997.39758600
1734447600000,108258.38000000,108258.38000000,105725.99000000,106478.47000000,4148.52325000
1734451200000,106478.48000000,107100.86000000,106148.00000000,107075.72000000,1719.47030000
1734454800000,107075.73000000,107617.12000000,106713.96000000,107506.37000000,1501.46563000
1734458400000,107506.37000000,107633.00000000,106410.55000000,106551.89000000,1312.39668000
1734462000000,106551.89000000,106986.44000000,106216.06000000,106475.89000000,1342.02320000
1734465600000,106475.89000000,106903.99000000,106156.22000000,106732.98000000,1003.81925000
1734469200000,106732.98000000,106799.18000000,106236.53000000,106411.54000000,442.63546000
1734472800000,106411.53000000,106419.38000000,105321.49000000,105972.01000000,1143.43647000
1734476400000,105972.00000000,106350.01000000,105550.00000000,106133.74000000,1216.85768000
1734480000000,106133.74000000,106460.00000000,105620.03000000,106098.93000000,999.41593000
1734483600000,106098.92000000,106524.98000000,104942.32000000,105332.84000000,2375.39062000
1734487200000,105335.23000000,105651.88000000,105016.00000000,105312.91000000,985.53584000
1734490800000,105312.90000000,105331.63000000,104581.58000000,104763.98000000,1424.59685000
1734494400000,104763.99000000,104763.99000000,103516.98000000,103868.01000000,2603.97627000
1734498000000,103868.00000000,104125.18000000,103276.00000000,103572.17000000,1659.21540000
1734501600000,103572.16000000,104000.21000000,103137.82000000,103794.65000000,1754.37180000
1734505200000,103794.65000000,104317.82000000,103702.32000000,104250.75000000,1239.07366000
1734508800000,104250.75000000,104378.92000000,103729.18000000,103805.43000000,707.25432000
1734512400000,103805.42000000,104435.00000000,103804.66000000,104047.99000000,794.73016000
1734516000000,104047.99000000,104659.25000000,103984.00000000,104531.03000000,547.48679000
1734519600000,104531.03000000,105033.33000000,104500.00000000,105028.33000000,878.17039000
1734523200000,105028.33000000,105350.00000000,104687.44000000,104920.01000000,1428.18959000
1734526800000,104920.02000000,105271.80000000,104532.01000000,104580.58000000,888.46850000
1734530400000,104580.57000000,104860.66000000,103855.07000000,104019.93000000,2756.64761000
1734534000000,104019.94000000,104569.41000000,103650.00000000,104428.54000000,2169.56095000
1734537600000,104428.54000000,104474.14000000,103380.43000000,104199.62000000,2165.97625000
1734541200000,104199.63000000,104819.83000000,103876.00000000,104656.18000000,998.63962000
1734544800000,104656.18000000,104999.98000000,104150.01000000,104808.99000000,1126.27380000
1734548400000,104805.44000000,104805.44000000,102817.82000000,102817.82000000,4875.44811000
1734552000000,102817.82000000,102997.77000000,100303.72000000,100846.67000000,10402.44410000
1734555600000,100846.68000000,101745.45000000,100481.81000000,101010.55000000,3022.31056000
1734559200000,101010.54000000,101560.89000000,100648.99000000,101152.45000000,1684.68673000
1734562800000,101152.45000000,101203.45000000,100000.00000000,100204.01000000,2820.13370000
1734566400000,100204.01000000,100986.09000000,100128.00000000,100831.16000000,2011.20722000
1734570000000,100831.17000000,100903.28000000,99605.98000000,99768.97000000,1922.58004000
1734573600000,99768.97000000,100534.56000000,98802.00000000,100534.56000000,4808.23260000
1734577200000,100534.56000000,101310.25000000,100456.00000000,101193.15000000,2269.12938000
1734580800000,101193.15000000,101228.31000000,100629.99000000,100671.62000000,834.97520000
1734584400000,100671.62000000,101415.25000000,100671.62000000,101300.01000000,935.02447000
1734588000000,101300.01000000,101392.15000000,101015.44000000,101200.01000000,712.40267000
1734591600000,101200.01000000,101727.28000000,101124.46000000,101656.57000000,716.67385000
1734595200000,101656.57000000,101820.00000000,101380.10000000,101640.40000000,745.81150000
1734598800000,101640.40000000,101873.08000000,101537.56000000,101815.99000000,863.07944000
1734602400000,101815.99000000,102609.72000000,101758.19000000,102409.34000000,1608.23665000
1734606000000,102409.34000000,102514.05000000,102176.38000000,102449.99000000,857.73867000
1734609600000,102450.00000000,102559.21000000,101882.09000000,101988.00000000,1055.08532000
1734613200000,101987.99000000,102216.07000000,101667.00000000,101952.44000000,1706.53325000
1734616800000,101952.44000000,102800.11000000,100694.07000000,100942.41000000,3192.18817000
1734620400000,100942.41000000,101063.38000000,99500.00000000,100679.86000000,4543.00113000
1734624000000,100679.86000000,101200.00000000,99830.00000000,100716.30000000,2127.60244000
1734627600000,100716.30000000,100748.87000000,97500.00000000,98855.86000000,5111.98146000
1734631200000,98855.86000000,98952.73000000,96900.00000000,98932.73000000,5024.54216000
1734634800000,98932.72000000,99064.06000000,96251.32000000,97199.72000000,3592.37286000
1734638400000,97199.72000000,97312.00000000,95700.00000000,96409.54000000,4430.95326000
1734642000000,96409.55000000,98090.90000000,95828.98000000,97417.66000000,2612.13623000
1734645600000,97417.66000000,98500.00000000,97231.02000000,98391.21000000,1990.04732000
1734649200000,98391.21000000,98400.01000000,97455.30000000,97461.86000000,1475.86271000
1734652800000,97461.86000000,97814.09000000,96648.78000000,97248.22000000,2526.33162000
1734656400000,97248.22000000,97542.68000000,96159.84000000,96319.99000000,2512.42589000
1734660000000,96319.99000000,97731.91000000,96000.00000000,97632.59000000,2632.07757000
1734663600000,97632.59000000,97784.81000000,96969.70000000,97106.02000000,1041.19363000
1734667200000,97106.02000000,97838.98000000,96839.40000000,97304.07000000,1275.17255000
1734670800000,97304.07000000,97491.95000000,96672.47000000,96734.32000000,1339.46566000
1734674400000,96734.33000000,97303.99000000,96374.03000000,97281.37000000,1663.60632000
1734678000000,97281.38000000,98233.00000000,97276.50000000,97832.53000000,2593.15424000
1734681600000,97832.52000000,97864.91000000,95300.00000000,95473.74000000,3437.65104000
1734685200000,95473.74000000,95738.79000000,94682.27000000,94811.85000000,4514.51169000
1734688800000,94811.85000000,95114.71000000,94000.00000000,94359.53000000,4759.81141000
1734692400000,94359.54000000,94749.92000000,92612.10000000,92723.98000000,6297.21711000
1734696000000,92723.99000000,94244.00000000,92232.54000000,93941.75000000,5424.78009000
1734699600000,93941.74000000,95803.57000000,93581.32000000,95204.00000000,4179.24629000
1734703200000,95204.00000000,96235.29000000,94745.87000000,95627.99000000,3245.11909000
1734706800000,95628.00000000,97572.00000000,95608.01000000,96991.62000000,3494.16219000
1734710400000,96991.63000000,97700.00000000,96300.00000000,96727.99000000,2894.10090000
1734714000000,96728.00000000,97375.45000000,96427.00000000,97206.59000000,1735.72497000
1734717600000,97206.60000000,97308.39000000,96602.69000000,96993.58000000,1216.44814000
1734721200000,96992.26000000,97748.00000000,96840.00000000,97116.00000000,1339.74895000
1734724800000,97116.00000000,97232.00000000,96422.06000000,96451.88000000,1354.12601000
1734728400000,96451.88000000,96647.36000000,95393.84000000,96623.29000000,1604.60540000
1734732000000,96623.29000000,97513.00000000,96451.03000000,97463.93000000,978.34197000
1734735600000,97463.93000000,97816.44000000,97389.38000000,97805.44000000,825.11297000
1734739200000,97805.44000000,97813.59000000,97216.32000000,97525.77000000,941.26945000
1734742800000,97525.77000000,97668.68000000,97198.76000000,97357.23000000,939.89900000
1734746400000,97357.23000000,97610.54000000,97188.09000000,97396.00000000,507.91033000
1734750000000,97396.00000000,97487.47000000,97244.00000000,97487.46000000,489.58985000
1734753600000,97487.47000000,97643.00000000,97378.50000000,97588.00000000,424.52783000
1734757200000,97588.00000000,98692.00000000,97541.06000000,98691.98000000,1167.51919000
1734760800000,98691.98000000,98837.49000000,98318.60000000,98726.76000000,1768.19966000
1734764400000,98726.76000000,99540.61000000,98500.00000000,99040.00000000,2107.70340000
1734768000000,99040.00000000,99187.95000000,98438.01000000,98650.00000000,1024.17691000
1734771600000,98650.00000000,98686.77000000,98296.01000000,98565.82000000,668.62346000
1734775200000,98565.82000000,98649.90000000,98043.12000000,98131.22000000,904.66058000
1734778800000,98131.22000000,98424.77000000,97800.00000000,98262.08000000,836.65859000
1734782400000,98262.08000000,98283.95000000,97105.26000000,97131.99000000,1762.27838000
1734786000000,97132.00000000,97500.48000000,96398.39000000,97344.54000000,2544.04817000
1734789600000,97344.02000000,97755.35000000,97069.40000000,97083.11000000,968.11701000
1734793200000,97083.11000000,97719.86000000,97070.28000000,97527.97000000,655.66124000
1734796800000,97527.96000000,97718.80000000,96951.41000000,97292.00000000,1007.90405000
1734800400000,97292.00000000,97695.80000000,97035.58000000,97595.28000000,805.82908000
1734804000000,97595.29000000,97723.18000000,97287.87000000,97400.01000000,378.39640000
1734807600000,97400.01000000,97436.69000000,96819.36000000,97269.03000000,741.60788000
1734811200000,97269.03000000,98057.51000000,97224.83000000,97456.91000000,882.07806000
1734814800000,97456.92000000,97577.99000000,96539.91000000,96892.00000000,703.06094000
1734818400000,96892.00000000,97399.99000000,96624.00000000,97147.46000000,879.19206000
1734822000000,97147.46000000,97313.26000000,96900.00000000,97291.99000000,374.62991000
1734825600000,97292.00000000,97448.08000000,97052.00000000,97253.01000000,422.37636000
1734829200000,97253.01000000,97432.69000000,96720.00000000,97060.01000000,447.72923000
1734832800000,97060.00000000,97236.18000000,96613.18000000,96719.99000000,371.81103000
1734836400000,96719.99000000,97320.00000000,96549.37000000,96994.37000000,606.61122000
1734840000000,96994.37000000,97071.97000000,96072.00000000,96076.01000000,713.47180000
1734843600000,96076.01000000,96409.64000000,95890.28000000,96156.19000000,1122.09453000
1734847200000,96156.19000000,96749.99000000,96112.00000000,96739.99000000,591.16867000
1734850800000,96740.00000000,96847.99000000,96080.00000000,96210.24000000,554.68137000
1734854400000,96210.25000000,96689.55000000,96196.85000000,96534.50000000,503.87812000
1734858000000,96534.51000000,97256.02000000,96333.50000000,96940.27000000,777.26357000
1734861600000,96940.27000000,97351.57000000,96852.00000000,97009.03000000,522.54613000
1734865200000,97009.03000000,97334.25000000,96988.00000000,97101.28000000,381.30098000
1734868800000,97101.29000000,97300.00000000,96836.36000000,96987.61000000,442.59499000
1734872400000,96987.61000000,97250.00000000,96850.00000000,96976.00000000,512.07060000
1734876000000,96976.00000000,97044.02000000,95254.77000000,95363.44000000,2055.07585000
1734879600000,95363.44000000,95660.80000000,95109.13000000,95377.72000000,1435.16530000
1734883200000,95377.71000000,95888.09000000,95200.00000000,95715.09000000,972.83507000
1734886800000,95715.09000000,95854.54000000,95457.62000000,95612.19000000,554.90428000
1734890400000,95612.18000000,96444.45000000,95371.96000000,95955.22000000,987.27141000
1734894000000,95955.23000000,96152.00000000,94700.00000000,94836.55000000,1395.29769000
1734897600000,94836.55000000,95624.00000000,94424.00000000,95592.49000000,1089.42566000
1734901200000,95592.49000000,95740.00000000,95069.03000000,95203.11000000,734.29415000
1734904800000,95203.10000000,95640.00000000,94250.35000000,95547.41000000,1382.41430000
1734908400000,95547.42000000,95824.00000000,95024.00000000,95186.27000000,777.54805000
1734912000000,95186.28000000,95410.77000000,94333.33000000,94390.84000000,1150.62099000
1734915600000,94390.83000000,95130.01000000,93771.37000000,94449.99000000,1808.05684000
1734919200000,94450.00000000,94786.45000000,93700.42000000,94723.96000000,1620.88771000
1734922800000,94723.96000000,96043.99000000,94610.76000000,96025.15000000,1448.87686000
1734926400000,96025.15000000,96509.98000000,95644.00000000,95832.03000000,912.17420000
1734930000000,95832.02000000,95961.53000000,95352.21000000,95608.02000000,1320.33706000
1734933600000,95608.01000000,95650.76000000,94705.07000000,94824.83000000,941.38747000
1734937200000,94824.83000000,95579.62000000,94824.83000000,95404.01000000,745.23607000
1734940800000,95404.01000000,95554.88000000,95036.77000000,95503.87000000,612.57094000
1734944400000,95503.87000000,96167.98000000,95493.22000000,96013.72000000,893.03527000
1734948000000,96013.72000000,96445.17000000,95962.26000000,96392.39000000,943.52748000
1734951600000,96392.40000000,96538.92000000,95819.79000000,95932.42000000,571.71903000
1734955200000,95932.41000000,96423.00000000,95864.80000000,96305.00000000,862.92265000
1734958800000,96305.00000000,96350.00000000,94832.93000000,94924.34000000,1162.53760000
1734962400000,94924.35000000,95621.54000000,93700.01000000,94389.67000000,3351.51629000
1734966000000,94389.67000000,94430.89000000,93107.52000000,93250.37000000,2940.01344000
1734969600000,93250.38000000,94260.00000000,92928.82000000,93980.61000000,2356.01885000
1734973200000,93980.61000000,94135.47000000,93206.79000000,93364.26000000,1328.46895000
1734976800000,93364.26000000,93747.66000000,92690.00000000,92758.55000000,1297.92664000
1734980400000,92758.54000000,93710.03000000,92702.00000000,93044.79000000,1253.88219000
1734984000000,93044.79000000,93530.01000000,92520.00000000,93186.34000000,1794.60092000
1734987600000,93186.34000000,94305.61000000,93181.83000000,93964.01000000,1407.12075000
1734991200000,93964.01000000,95191.81000000,93911.50000000,95191.81000000,1019.60575000
1734994800000,95191.80000000,95509.09000000,94683.81000000,94881.47000000,1067.72308000
1734998400000,94881.47000000,94881.47000000,94131.11000000,94550.22000000,955.84079000
1735002000000,94550.23000000,94672.00000000,94036.00000000,94123.43000000,567.58156000
1735005600000,94123.43000000,94320.00000000,93569.02000000,93961.45000000,879.60295000
1735009200000,93961.45000000,94400.00000000,93810.02000000,94348.75000000,732.79870000
1735012800000,94348.75000000,94416.00000000,94052.70000000,94412.30000000,546.31234000
1735016400000,94412.30000000,94653.45000000,94311.55000000,94606.06000000,412.67676000
1735020000000,94606.06000000,94606.07000000,93830.47000000,93918.99000000,591.57780000
1735023600000,93918.99000000,94313.61000000,93810.45000000,94233.19000000,448.92608000
1735027200000,94233.20000000,94635.70000000,94125.42000000,94495.77000000,633.45604000
1735030800000,94495.77000000,94530.42000000,93952.00000000,94068.01000000,446.78916000
1735034400000,94068.01000000,94194.07000000,93840.00000000,93972.01000000,389.62902000
1735038000000,93972.01000000,94425.70000000,93934.69000000,94398.60000000,466.22641000
1735041600000,94398.60000000,94410.39000000,94075.10000000,94304.32000000,421.20785000
1735045200000,94305.84000000,96094.00000000,94289.24000000,96085.02000000,1620.10206000
1735048800000,96085.02000000,97498.64000000,95864.50000000,97465.06000000,2637.73752000
1735052400000,97465.06000000,98300.00000000,97235.55000000,98300.00000000,2291.31734000
1735056000000,98299.99000000,98666.00000000,97964.00000000,98496.23000000,2172.24903000
1735059600000,98496.23000000,99030.72000000,98325.78000000,98797.47000000,1789.42098000
1735063200000,98797.47000000,99487.99000000,98418.16000000,98618.66000000,1479.28279000
1735066800000,98618.66000000,98743.52000000,97546.57000000,97581.09000000,1005.96025000
1735070400000,97581.10000000,98056.27000000,97250.00000000,97298.01000000,1248.65596000
1735074000000,97298.02000000,98462.28000000,97277.90000000,98397.96000000,791.97528000
1735077600000,98397.95000000,99068.90000000,98355.43000000,98777.11000000,751.43045000
1735081200000,98777.10000000,99019.10000000,98492.67000000,98663.58000000,393.46776000
1735084800000,98663.58000000,98878.44000000,98393.60000000,98418.42000000,715.42470000
1735088400000,98418.42000000,98597.60000000,97901.08000000,97983.18000000,598.00500000
1735092000000,97983.17000000,98353.99000000,97725.27000000,98131.07000000,593.82651000
